id_pedido,id_cliente,fecha,hora,id_departamento,id_seccion,id_producto,nombre_producto,precio_unitario,cantidad,precio_total
15,421,2023-12-29,1667,2,4,39,Te Helado 1.5L,3.1,1,3.1
15,421,2023-12-29,1667,2,5,44,Cerveza Artesanal 500ml,6.5,1,6.5
15,421,2023-12-29,1667,1,2,14,Costillas de Res kg,18.4,3,55.2
15,421,2023-12-29,1667,2,4,32,Coca Cola 2L,3.5,1,3.5
16,52,2024-07-17,1000,1,1,1,Leche Entera 1L,2.5,1,2.5
16,52,2024-07-17,1000,1,10,26,Pan Integral 500g,2.8,1,2.8
16,52,2024-07-17,1000,1,1,4,Mantequilla 250g,4.5,3,13.5
16,52,2024-07-17,1000,1,3,22,Naranjas kg,2.8,3,8.4
17,3,2023-06-18,1576,2,4,34,Fanta Naranja 2L,3.2,2,6.4
17,3,2023-06-18,1576,3,7,59,Pañuelos Faciales 100 unidades,1.8,1,1.8
17,3,2023-06-18,1576,2,4,37,Jugo de Naranja 1L,4.5,1,4.5
17,3,2023-06-18,1576,3,6,55,Blanqueador 1L,2.8,1,2.8
17,3,2023-06-18,1576,4,9,72,Crema Facial 50ml,15.9,1,15.9
18,766,2024-07-09,924,4,9,72,Crema Facial 50ml,15.9,4,63.6
18,766,2024-07-09,924,4,9,73,Protector Solar 100ml,12.5,1,12.5
18,766,2024-07-09,924,4,9,79,Serum Vitamina C 30ml,22.5,1,22.5
18,766,2024-07-09,924,1,1,8,Queso Fresco 300g,5.2,2,10.4
19,414,2024-11-22,1281,1,2,11,Lomo de Cerdo kg,15.8,1,15.8
19,414,2024-11-22,1281,1,3,17,Manzanas Rojas kg,3.4,2,6.8
19,414,2024-11-22,1281,2,5,41,Vino Tinto 750ml,12.5,2,25.0
19,414,2024-11-22,1281,2,5,40,Cerveza Lager 6pack,8.9,3,26.7
19,414,2024-11-22,1281,2,4,32,Coca Cola 2L,3.5,1,3.5
19,414,2024-11-22,1281,3,7,58,Servilletas 200 unidades,2.4,2,4.8
20,406,2023-09-02,1343,4,8,64,Champú 400ml,6.5,2,13.0
20,406,2023-09-02,1343,4,8,65,Acondicionador 400ml,6.8,2,13.6
20,406,2023-09-02,1343,4,8,66,Jabón Corporal 250ml,4.2,1,4.2
20,406,2023-09-02,1343,3,6,48,Detergente Líquido 1L,4.8,1,4.8
20,406,2023-09-02,1343,3,6,49,Suavizante 900ml,3.5,1,3.5
20,406,2023-09-02,1343,3,7,56,Papel Higiénico 12 rollos,8.5,1,8.5
20,406,2023-09-02,1343,4,9,73,Protector Solar 100ml,12.5,1,12.5
20,406,2023-09-02,1343,1,2,13,Pechuga de Pollo kg,8.7,1,8.7
20,406,2023-09-02,1343,1,2,10,Carne Molida kg,12.5,2,25.0
21,827,2023-11-06,2052,2,4,32,Coca Cola 2L,3.5,3,10.5
21,827,2023-11-06,2052,2,4,35,Sprite 1.5L,2.8,1,2.8
21,827,2023-11-06,2052,2,4,38,Agua Con Gas 1L,1.8,1,1.8
22,160,2023-04-20,1933,1,3,25,Ajos kg,4.5,1,4.5
22,160,2023-04-20,1933,3,6,50,Jabón en Polvo 1kg,5.2,3,15.6
22,160,2023-04-20,1933,3,6,55,Blanqueador 1L,2.8,1,2.8
22,160,2023-04-20,1933,3,7,62,Bolsas de Basura 50 unidades,3.9,2,7.8
22,160,2023-04-20,1933,4,8,65,Acondicionador 400ml,6.8,3,20.4
22,160,2023-04-20,1933,3,7,63,Papel Encerado 25m,3.6,1,3.6
23,653,2023-12-08,1067,1,3,21,Lechuga unidad,1.5,2,3.0
23,653,2023-12-08,1067,3,7,57,Toallas de Papel 6 rollos,7.2,1,7.2
24,78,2023-01-10,1029,1,3,20,Cebollas kg,1.8,2,3.6
24,78,2023-01-10,1029,4,8,70,Cepillo de Dientes,2.8,1,2.8
24,78,2023-01-10,1029,1,1,5,Leche Descremada 1L,2.3,1,2.3
24,78,2023-01-10,1029,3,6,48,Detergente Líquido 1L,4.8,1,4.8
24,78,2023-01-10,1029,4,9,75,Lápiz Labial,8.5,3,25.5
25,216,2023-02-10,1532,3,6,52,Desinfectante 1L,3.8,3,11.4
25,216,2023-02-10,1532,3,7,57,Toallas de Papel 6 rollos,7.2,4,28.8
25,216,2023-02-10,1532,3,6,53,Limpiador Multiuso 500ml,2.6,3,7.8
25,216,2023-02-10,1532,2,5,42,Whisky 750ml,35.0,2,70.0
25,216,2023-02-10,1532,2,4,36,Agua Mineral 1.5L,1.2,1,1.2
25,216,2023-02-10,1532,1,10,31,Pan de Molde 700g,3.2,2,6.4
26,822,2023-12-07,1643,1,2,9,Pollo Entero kg,5.2,1,5.2
26,822,2023-12-07,1643,1,3,24,Papas kg,1.9,1,1.9
26,822,2023-12-07,1643,1,3,23,Zanahorias kg,2.2,1,2.2
26,822,2023-12-07,1643,1,3,20,Cebollas kg,1.8,1,1.8
26,822,2023-12-07,1643,3,6,50,Jabón en Polvo 1kg,5.2,3,15.6
26,822,2023-12-07,1643,3,6,55,Blanqueador 1L,2.8,1,2.8
26,822,2023-12-07,1643,3,7,62,Bolsas de Basura 50 unidades,3.9,3,11.7
27,25,2023-08-22,1256,3,6,48,Detergente Líquido 1L,4.8,1,4.8
27,25,2023-08-22,1256,3,6,49,Suavizante 900ml,3.5,4,14.0
27,25,2023-08-22,1256,3,7,56,Papel Higiénico 12 rollos,8.5,2,17.0
27,25,2023-08-22,1256,2,5,45,Vino Blanco 750ml,11.8,3,35.4
27,25,2023-08-22,1256,4,8,66,Jabón Corporal 250ml,4.2,1,4.2
28,595,2023-09-25,1165,2,4,34,Fanta Naranja 2L,3.2,2,6.4
28,595,2023-09-25,1165,1,1,5,Leche Descremada 1L,2.3,1,2.3
28,595,2023-09-25,1165,1,2,14,Costillas de Res kg,18.4,2,36.8
29,524,2024-03-22,2041,1,2,9,Pollo Entero kg,5.2,2,10.4
29,524,2024-03-22,2041,1,3,24,Papas kg,1.9,3,5.7
29,524,2024-03-22,2041,1,3,23,Zanahorias kg,2.2,2,4.4
29,524,2024-03-22,2041,1,3,20,Cebollas kg,1.8,1,1.8
29,524,2024-03-22,2041,3,6,50,Jabón en Polvo 1kg,5.2,1,5.2
29,524,2024-03-22,2041,3,6,55,Blanqueador 1L,2.8,3,8.4
29,524,2024-03-22,2041,3,7,62,Bolsas de Basura 50 unidades,3.9,3,11.7
29,524,2024-03-22,2041,1,1,1,Leche Entera 1L,2.5,2,5.0
29,524,2024-03-22,2041,4,8,67,Pasta Dental 100ml,3.5,2,7.0
29,524,2024-03-22,2041,4,8,69,Crema Hidratante 200ml,7.9,1,7.9
30,317,2023-11-04,1838,1,3,19,Tomates kg,4.2,1,4.2
30,317,2023-11-04,1838,1,3,20,Cebollas kg,1.8,3,5.4
30,317,2023-11-04,1838,1,3,23,Zanahorias kg,2.2,2,4.4
30,317,2023-11-04,1838,1,3,25,Ajos kg,4.5,3,13.5
31,309,2024-09-22,1965,3,6,48,Detergente Líquido 1L,4.8,1,4.8
31,309,2024-09-22,1965,3,6,49,Suavizante 900ml,3.5,1,3.5
31,309,2024-09-22,1965,3,7,56,Papel Higiénico 12 rollos,8.5,1,8.5
31,309,2024-09-22,1965,2,4,32,Coca Cola 2L,3.5,3,10.5
31,309,2024-09-22,1965,2,4,35,Sprite 1.5L,2.8,2,5.6
31,309,2024-09-22,1965,2,4,38,Agua Con Gas 1L,1.8,1,1.8
31,309,2024-09-22,1965,3,7,60,Papel de Cocina 4 rollos,5.6,1,5.6
31,309,2024-09-22,1965,3,7,57,Toallas de Papel 6 rollos,7.2,2,14.4
32,344,2024-10-10,2068,1,2,9,Pollo Entero kg,5.2,1,5.2
32,344,2024-10-10,2068,1,3,24,Papas kg,1.9,4,7.6
32,344,2024-10-10,2068,1,3,23,Zanahorias kg,2.2,2,4.4
32,344,2024-10-10,2068,1,3,20,Cebollas kg,1.8,2,3.6
32,344,2024-10-10,2068,1,3,25,Ajos kg,4.5,1,4.5
32,344,2024-10-10,2068,3,6,48,Detergente Líquido 1L,4.8,3,14.4
32,344,2024-10-10,2068,3,6,49,Suavizante 900ml,3.5,2,7.0
32,344,2024-10-10,2068,3,7,56,Papel Higiénico 12 rollos,8.5,2,17.0
33,410,2024-01-29,1812,1,1,2,Yogur Natural 500g,3.2,1,3.2
33,410,2024-01-29,1812,1,10,30,Tostadas 300g,2.9,2,5.8
33,410,2024-01-29,1812,2,4,36,Agua Mineral 1.5L,1.2,3,3.6
33,410,2024-01-29,1812,2,4,37,Jugo de Naranja 1L,4.5,1,4.5
33,410,2024-01-29,1812,2,4,39,Te Helado 1.5L,3.1,1,3.1
33,410,2024-01-29,1812,4,8,67,Pasta Dental 100ml,3.5,1,3.5
34,610,2024-06-27,1944,4,9,72,Crema Facial 50ml,15.9,2,31.8
34,610,2024-06-27,1944,4,9,73,Protector Solar 100ml,12.5,1,12.5
34,610,2024-06-27,1944,4,9,79,Serum Vitamina C 30ml,22.5,1,22.5
34,610,2024-06-27,1944,2,5,42,Whisky 750ml,35.0,1,35.0
34,610,2024-06-27,1944,2,4,36,Agua Mineral 1.5L,1.2,2,2.4
34,610,2024-06-27,1944,4,8,71,Enjuague Bucal 500ml,5.2,2,10.4
34,610,2024-06-27,1944,3,7,58,Servilletas 200 unidades,2.4,2,4.8
34,610,2024-06-27,1944,1,3,21,Lechuga unidad,1.5,2,3.0
35,80,2023-10-09,1700,1,10,31,Pan de Molde 700g,3.2,1,3.2
35,80,2023-10-09,1700,2,4,35,Sprite 1.5L,2.8,1,2.8
35,80,2023-10-09,1700,2,5,43,Vodka 750ml,25.9,1,25.9
35,80,2023-10-09,1700,2,5,41,Vino Tinto 750ml,12.5,1,12.5
35,80,2023-10-09,1700,4,8,70,Cepillo de Dientes,2.8,1,2.8
36,339,2024-02-29,1634,1,2,10,Carne Molida kg,12.5,1,12.5
36,339,2024-02-29,1634,1,3,19,Tomates kg,4.2,1,4.2
36,339,2024-02-29,1634,1,3,25,Ajos kg,4.5,1,4.5
36,339,2024-02-29,1634,4,9,75,Lápiz Labial,8.5,2,17.0
36,339,2024-02-29,1634,1,1,3,Queso Manchego 200g,8.9,3,26.7
36,339,2024-02-29,1634,4,9,74,Maquillaje Base 30ml,18.9,4,75.6
37,766,2024-03-05,1902,4,9,78,Removedor Maquillaje 200ml,7.8,1,7.8
37,766,2024-03-05,1902,1,10,29,Galletas Integrales 400g,3.8,1,3.8
37,766,2024-03-05,1902,3,7,63,Papel Encerado 25m,3.6,2,7.2
37,766,2024-03-05,1902,4,9,79,Serum Vitamina C 30ml,22.5,1,22.5
37,766,2024-03-05,1902,2,4,35,Sprite 1.5L,2.8,1,2.8
37,766,2024-03-05,1902,3,7,56,Papel Higiénico 12 rollos,8.5,1,8.5
37,766,2024-03-05,1902,4,9,77,Mascarilla Facial,4.9,1,4.9
38,28,2024-09-29,1893,4,9,76,Crema Antiarrugas 50ml,25.8,1,25.8
39,659,2023-01-28,971,1,2,10,Carne Molida kg,12.5,1,12.5
39,659,2023-01-28,971,1,3,19,Tomates kg,4.2,2,8.4
39,659,2023-01-28,971,1,3,25,Ajos kg,4.5,1,4.5
39,659,2023-01-28,971,1,1,2,Yogur Natural 500g,3.2,2,6.4
39,659,2023-01-28,971,1,10,30,Tostadas 300g,2.9,3,8.7
39,659,2023-01-28,971,1,10,28,Pan Blanco 600g,2.2,1,2.2
39,659,2023-01-28,971,3,7,59,Pañuelos Faciales 100 unidades,1.8,1,1.8
40,54,2023-01-20,1904,2,5,45,Vino Blanco 750ml,11.8,2,23.6
40,54,2023-01-20,1904,1,10,29,Galletas Integrales 400g,3.8,3,11.4
40,54,2023-01-20,1904,1,2,9,Pollo Entero kg,5.2,1,5.2
40,54,2023-01-20,1904,1,1,6,Yogur Griego 400g,4.8,1,4.8
41,130,2023-06-06,1288,1,2,10,Carne Molida kg,12.5,2,25.0
41,130,2023-06-06,1288,1,3,19,Tomates kg,4.2,4,16.8
41,130,2023-06-06,1288,1,3,25,Ajos kg,4.5,2,9.0
41,130,2023-06-06,1288,3,6,48,Detergente Líquido 1L,4.8,2,9.6
41,130,2023-06-06,1288,1,3,22,Naranjas kg,2.8,1,2.8
42,593,2023-11-15,1021,1,3,19,Tomates kg,4.2,2,8.4
42,593,2023-11-15,1021,1,3,20,Cebollas kg,1.8,2,3.6
42,593,2023-11-15,1021,1,3,23,Zanahorias kg,2.2,1,2.2
42,593,2023-11-15,1021,1,10,26,Pan Integral 500g,2.8,2,5.6
42,593,2023-11-15,1021,1,2,10,Carne Molida kg,12.5,3,37.5
42,593,2023-11-15,1021,4,9,76,Crema Antiarrugas 50ml,25.8,1,25.8
43,802,2023-05-04,1959,1,3,19,Tomates kg,4.2,2,8.4
43,802,2023-05-04,1959,1,3,20,Cebollas kg,1.8,1,1.8
43,802,2023-05-04,1959,1,3,23,Zanahorias kg,2.2,3,6.6
44,444,2024-05-16,1016,3,7,59,Pañuelos Faciales 100 unidades,1.8,1,1.8
44,444,2024-05-16,1016,1,3,20,Cebollas kg,1.8,2,3.6
44,444,2024-05-16,1016,3,7,56,Papel Higiénico 12 rollos,8.5,2,17.0
45,794,2024-09-22,1902,1,3,19,Tomates kg,4.2,1,4.2
45,794,2024-09-22,1902,1,3,20,Cebollas kg,1.8,1,1.8
45,794,2024-09-22,1902,1,3,23,Zanahorias kg,2.2,2,4.4
45,794,2024-09-22,1902,2,4,32,Coca Cola 2L,3.5,2,7.0
45,794,2024-09-22,1902,1,2,12,Chuletas de Cordero kg,22.9,1,22.9
46,507,2023-12-11,858,1,3,24,Papas kg,1.9,1,1.9
46,507,2023-12-11,858,3,7,63,Papel Encerado 25m,3.6,1,3.6
46,507,2023-12-11,858,1,10,28,Pan Blanco 600g,2.2,1,2.2
47,570,2024-09-02,1365,1,1,2,Yogur Natural 500g,3.2,1,3.2
47,570,2024-09-02,1365,1,10,30,Tostadas 300g,2.9,1,2.9
47,570,2024-09-02,1365,1,2,11,Lomo de Cerdo kg,15.8,2,31.6
47,570,2024-09-02,1365,1,3,17,Manzanas Rojas kg,3.4,1,3.4
47,570,2024-09-02,1365,2,5,41,Vino Tinto 750ml,12.5,2,25.0
47,570,2024-09-02,1365,4,8,64,Champú 400ml,6.5,1,6.5
47,570,2024-09-02,1365,4,8,65,Acondicionador 400ml,6.8,2,13.6
47,570,2024-09-02,1365,4,8,66,Jabón Corporal 250ml,4.2,1,4.2
47,570,2024-09-02,1365,3,7,63,Papel Encerado 25m,3.6,2,7.2
47,570,2024-09-02,1365,3,7,58,Servilletas 200 unidades,2.4,1,2.4
47,570,2024-09-02,1365,1,1,3,Queso Manchego 200g,8.9,2,17.8
48,258,2023-10-05,1427,3,6,50,Jabón en Polvo 1kg,5.2,1,5.2
48,258,2023-10-05,1427,3,6,55,Blanqueador 1L,2.8,1,2.8
48,258,2023-10-05,1427,3,7,62,Bolsas de Basura 50 unidades,3.9,2,7.8
48,258,2023-10-05,1427,2,4,37,Jugo de Naranja 1L,4.5,4,18.0
48,258,2023-10-05,1427,1,10,27,Croissants 6 unidades,4.5,2,9.0
48,258,2023-10-05,1427,1,3,25,Ajos kg,4.5,1,4.5
49,304,2023-04-13,1197,2,4,37,Jugo de Naranja 1L,4.5,1,4.5
49,304,2023-04-13,1197,1,10,27,Croissants 6 unidades,4.5,1,4.5
49,304,2023-04-13,1197,2,4,36,Agua Mineral 1.5L,1.2,1,1.2
50,890,2023-05-10,2106,1,2,14,Costillas de Res kg,18.4,3,55.2
51,481,2024-08-10,1382,1,1,2,Yogur Natural 500g,3.2,1,3.2
51,481,2024-08-10,1382,1,10,30,Tostadas 300g,2.9,2,5.8
51,481,2024-08-10,1382,1,2,15,Salchichas kg,6.8,2,13.6
51,481,2024-08-10,1382,1,2,9,Pollo Entero kg,5.2,1,5.2
51,481,2024-08-10,1382,3,6,52,Desinfectante 1L,3.8,3,11.4
52,255,2023-11-08,974,2,5,42,Whisky 750ml,35.0,2,70.0
52,255,2023-11-08,974,2,4,36,Agua Mineral 1.5L,1.2,4,4.8
52,255,2023-11-08,974,2,4,36,Agua Mineral 1.5L,1.2,1,1.2
52,255,2023-11-08,974,2,4,37,Jugo de Naranja 1L,4.5,2,9.0
52,255,2023-11-08,974,2,4,39,Te Helado 1.5L,3.1,2,6.2
52,255,2023-11-08,974,3,7,58,Servilletas 200 unidades,2.4,2,4.8
52,255,2023-11-08,974,3,7,57,Toallas de Papel 6 rollos,7.2,3,21.6
53,217,2023-08-01,2081,1,2,9,Pollo Entero kg,5.2,1,5.2
53,217,2023-08-01,2081,1,3,24,Papas kg,1.9,1,1.9
53,217,2023-08-01,2081,1,3,23,Zanahorias kg,2.2,2,4.4
53,217,2023-08-01,2081,1,3,20,Cebollas kg,1.8,1,1.8
54,296,2023-02-03,1274,3,7,59,Pañuelos Faciales 100 unidades,1.8,2,3.6
54,296,2023-02-03,1274,1,2,10,Carne Molida kg,12.5,3,37.5
54,296,2023-02-03,1274,1,10,30,Tostadas 300g,2.9,1,2.9
54,296,2023-02-03,1274,2,4,34,Fanta Naranja 2L,3.2,2,6.4
54,296,2023-02-03,1274,4,9,76,Crema Antiarrugas 50ml,25.8,1,25.8
55,74,2023-09-30,1091,2,5,42,Whisky 750ml,35.0,1,35.0
55,74,2023-09-30,1091,2,4,36,Agua Mineral 1.5L,1.2,3,3.6
55,74,2023-09-30,1091,1,3,19,Tomates kg,4.2,2,8.4
55,74,2023-09-30,1091,1,3,20,Cebollas kg,1.8,1,1.8
55,74,2023-09-30,1091,1,3,23,Zanahorias kg,2.2,1,2.2
55,74,2023-09-30,1091,1,2,16,Jamón Serrano 200g,9.5,1,9.5
55,74,2023-09-30,1091,3,7,60,Papel de Cocina 4 rollos,5.6,1,5.6
55,74,2023-09-30,1091,2,4,39,Te Helado 1.5L,3.1,1,3.1
56,94,2023-09-14,852,2,4,36,Agua Mineral 1.5L,1.2,2,2.4
56,94,2023-09-14,852,2,4,37,Jugo de Naranja 1L,4.5,1,4.5
56,94,2023-09-14,852,2,4,39,Te Helado 1.5L,3.1,2,6.2
56,94,2023-09-14,852,2,5,42,Whisky 750ml,35.0,1,35.0
56,94,2023-09-14,852,2,4,36,Agua Mineral 1.5L,1.2,1,1.2
56,94,2023-09-14,852,4,9,74,Maquillaje Base 30ml,18.9,4,75.6
56,94,2023-09-14,852,1,1,6,Yogur Griego 400g,4.8,1,4.8
57,482,2024-05-18,986,1,3,25,Ajos kg,4.5,1,4.5
57,482,2024-05-18,986,2,5,43,Vodka 750ml,25.9,1,25.9
58,834,2024-11-09,1620,1,1,5,Leche Descremada 1L,2.3,1,2.3
58,834,2024-11-09,1620,3,7,59,Pañuelos Faciales 100 unidades,1.8,1,1.8
58,834,2024-11-09,1620,1,2,12,Chuletas de Cordero kg,22.9,2,45.8
58,834,2024-11-09,1620,2,5,41,Vino Tinto 750ml,12.5,3,37.5
59,891,2023-01-02,2146,1,2,11,Lomo de Cerdo kg,15.8,2,31.6
59,891,2023-01-02,2146,1,3,17,Manzanas Rojas kg,3.4,1,3.4
59,891,2023-01-02,2146,2,5,41,Vino Tinto 750ml,12.5,2,25.0
59,891,2023-01-02,2146,4,8,64,Champú 400ml,6.5,3,19.5
59,891,2023-01-02,2146,3,7,57,Toallas de Papel 6 rollos,7.2,1,7.2
60,125,2024-12-16,1792,2,4,36,Agua Mineral 1.5L,1.2,2,2.4
60,125,2024-12-16,1792,2,4,37,Jugo de Naranja 1L,4.5,1,4.5
60,125,2024-12-16,1792,2,4,39,Te Helado 1.5L,3.1,4,12.4
60,125,2024-12-16,1792,1,2,10,Carne Molida kg,12.5,3,37.5
60,125,2024-12-16,1792,1,3,19,Tomates kg,4.2,1,4.2
60,125,2024-12-16,1792,1,3,25,Ajos kg,4.5,1,4.5
61,956,2023-06-07,1820,4,8,66,Jabón Corporal 250ml,4.2,1,4.2
61,956,2023-06-07,1820,2,4,35,Sprite 1.5L,2.8,1,2.8
61,956,2023-06-07,1820,3,6,54,Jabón de Manos 300ml,2.4,1,2.4
61,956,2023-06-07,1820,3,7,62,Bolsas de Basura 50 unidades,3.9,2,7.8
61,956,2023-06-07,1820,3,7,61,Papel Aluminio 30m,4.2,2,8.4
61,956,2023-06-07,1820,2,4,32,Coca Cola 2L,3.5,1,3.5
62,792,2023-03-13,1365,3,6,54,Jabón de Manos 300ml,2.4,3,7.2
62,792,2023-03-13,1365,2,5,44,Cerveza Artesanal 500ml,6.5,2,13.0
62,792,2023-03-13,1365,4,8,65,Acondicionador 400ml,6.8,2,13.6
62,792,2023-03-13,1365,2,4,35,Sprite 1.5L,2.8,3,8.4
62,792,2023-03-13,1365,1,1,1,Leche Entera 1L,2.5,1,2.5
62,792,2023-03-13,1365,2,4,37,Jugo de Naranja 1L,4.5,1,4.5
62,792,2023-03-13,1365,2,4,39,Te Helado 1.5L,3.1,1,3.1
63,467,2024-07-10,1572,1,3,25,Ajos kg,4.5,4,18.0
64,393,2023-09-02,1971,2,4,37,Jugo de Naranja 1L,4.5,4,18.0
64,393,2023-09-02,1971,1,10,27,Croissants 6 unidades,4.5,1,4.5
64,393,2023-09-02,1971,3,6,52,Desinfectante 1L,3.8,4,15.2
64,393,2023-09-02,1971,3,7,57,Toallas de Papel 6 rollos,7.2,1,7.2
64,393,2023-09-02,1971,3,6,53,Limpiador Multiuso 500ml,2.6,1,2.6
64,393,2023-09-02,1971,3,6,50,Jabón en Polvo 1kg,5.2,3,15.6
64,393,2023-09-02,1971,1,3,20,Cebollas kg,1.8,1,1.8
64,393,2023-09-02,1971,4,8,64,Champú 400ml,6.5,3,19.5
65,420,2023-01-16,1095,1,3,20,Cebollas kg,1.8,2,3.6
65,420,2023-01-16,1095,1,2,10,Carne Molida kg,12.5,1,12.5
